record_id,intervention_or_language,jurisdiction,reference_year,evidence_role,measure_label,context_value,context_qualifier,context_unit,population_universe,age_scope,measure_definition,directness,source_tier,source_publisher,source_title,publication_date,source_url,source_locator,applicable_interventions,allocation_denominator_use,double_count_rule,status,limitations,row_sha256
AC-VISION-GLOBAL-2020-BLIND,Screen-reader-native semantic HTML/MathML; EPUB; tagged PDF; audio/DAISY,Global,2020,population_need_proxy,People who are blind,43300000,estimated,persons,Global population,,Blindness under vision-impairment definitions cited by the GBD study.,population_need_proxy_not_usage,official_publication_relaying_peer_reviewed_estimate,WHO Eastern Mediterranean Health Journal,Systematic review and meta-analysis of childhood visual impairment,2023,https://www.emro.who.int/emhj-volume-29-2023/volume-29-issue-6/systematic-review-and-meta-analysis-of-childhood-visual-impairment-in-the-eastern-mediterranean-region.html,Introduction: 43.3 million blind in 2020,screen-reader-native semantic HTML; MathML; EPUB; tagged PDF; audio/DAISY,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,Subset/overlap of broader visual impairment and assistive-technology populations; never sum.,context_only,"Blindness does not imply screen-reader use; access mode varies by person, task, literacy, device, and context.",c29022f3fedff94dc786f14198379752c0cc2c1771bfcb625af22a5e3f29aa9c
AC-VISION-GLOBAL-2026-BROAD,Screen-reader-native semantic HTML/MathML; EPUB; tagged PDF; audio/DAISY,Global,2026,broad_population_context,Near or distance vision impairment,2200000000,at_least,persons,Global population,,People with near or distance vision impairment.,broad_population_context_not_usage,primary_official,World Health Organization,Blindness and vision impairment,2026-02-10,https://www.who.int/news-room/fact-sheets/detail/blindness-and-visual-impairment,Key facts and prevalence: at least 2.2 billion,semantic HTML; MathML; EPUB; tagged PDF; audio/DAISY; scalable text,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,"Includes many people who do not need a screen reader and overlaps blindness, literacy, dementia, and AT need; never sum.",context_only,Heterogeneous severity and correction status; no digital access-mode measure.,2775917e71a6a3057d528823277dd2ee331fdf976233bb86d50c54111bf56262
AC-AT-GLOBAL-2022-NEED,Assistive-technology-compatible delivery,Global,2022,broad_population_context,Needs one or more assistive products,2500000000,more_than,persons,Children and adults with disabilities and older persons globally,,"Need for one or more assistive products across mobility, hearing, self-care, vision, cognition, and communication.",broad_cross_domain_need,primary_official_joint_report,WHO and UNICEF,Global Report on Assistive Technology launch,2022-05-16,https://www.who.int/news/item/16-05-2022-almost-one-billion-children-and-adults-with-disabilities-and-older-persons-in-need-of-assistive-technology-denied-access--according-to-new-report,More than 2.5 billion need one or more assistive products,screen readers; communication/cognition apps; accessible digital and physical formats,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,Umbrella population overlaps every disability-access intervention and cannot be allocated or added across formats.,context_only,"Not specific to reading, education, digital content, or any one assistive product.",96672f225466bcff1bffe010c111cf66955a407053fef13c50fb1ff86e6ecaaa
AC-AT-GLOBAL-2022-DENIED,Assistive-technology-compatible delivery,Global,2022,access_gap,People needing assistive technology who are denied access,1000000000,nearly,persons,People in the global assistive-technology need population,,People needing one or more assistive products who lack access.,broad_access_gap,primary_official_joint_report,WHO and UNICEF,Global Report on Assistive Technology launch,2022-05-16,https://www.who.int/news/item/16-05-2022-almost-one-billion-children-and-adults-with-disabilities-and-older-persons-in-need-of-assistive-technology-denied-access--according-to-new-report,Nearly one billion denied access; access in some LMICs as low as 3%,screen readers; communication/cognition apps; accessible digital and physical formats,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,Nested within the more-than-2.5-billion need population; do not add to it.,context_only,Not specific to educational content or any single accessibility format.,17075eed3ef866e3a5e1c527362b18896bfd41443ecff757048dd5b9bb473391
AC-HTML-UK-2022-24-INFOREL,Screen-reader-native semantic HTML/MathML,United Kingdom public sector,2022-2024,supply_access_gap,Websites failing WCAG 1.3.1 Info and Relationships,51.7,reported,percent_of_websites,"1,151 public-sector websites receiving simplified tests",,Percentage of tested websites with WCAG 1.3.1 Info and Relationships issues.,direct_supply_side,primary_official,UK Government Digital Service,Accessibility monitoring of public sector websites and mobile apps from 2022 to 2024,2024-12-17,https://www.gov.uk/government/publications/accessibility-monitoring-of-public-sector-websites-and-mobile-apps-from-2022-to-2024/accessibility-monitoring-of-public-sector-websites-and-mobile-apps-from-2022-to-2024,"Simplified testing n=1,151; WCAG 1.3.1 failure 51.7%",semantic HTML; labeled structures; native tables/headings/forms; MathML for mathematical content,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,Website failure rate cannot be combined with person counts or treated as the MathML failure rate.,supply_gap,Public-sector UK sample; simplified testing covers limited pages and criteria; MathML was not separately measured.,10ae69d37f2ec7032f8401ac316b2497b8698b61b7d27bd05f5d1b9e00ce9480
AC-PDF-IE-2023,Tagged PDF and HTML alternatives,Ireland public sector,2023,supply_access_gap,Sites where PDF errors were the largest error category,137,reported,sites,231 public-sector sites in simplified review,,PDF errors accounted for the highest total number of errors on the site.,direct_supply_side,primary_official,National Disability Authority of Ireland,Ireland's Monitoring Report for the EU Web Accessibility Directive 2023,2023,https://nda.ie/uploads/publications/Monitoring-Report-EU-WAD-Ireland-2023.pdf,"Executive summary, PDF p. 6: 137 of 231 sites; p. 7 recommends HTML instead of PDF forms",tagged PDF; semantic HTML alternative; accessible forms,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,Site count is not a count of PDFs or people and cannot be combined with user-population overlays.,supply_gap,"Indicates error dominance, not that every PDF on each site failed; tagging alone does not guarantee cognitive or visual usability.",200d231a045b134d5457d713bd3bfeb486cf3a45e5f31ef81896ea96f7080e0d
AC-EPUB-GLOBAL-WIPO-ACCESS,Accessible EPUB and other born-accessible publications,Global,current portal; estimate date not stated,supply_access_gap,Published materials readable by blind or low-vision people,10,less_than,percent_of_published_materials,All published materials in the World Blind Union estimate,,Share estimated readable by blind or low-vision people.,official_portal_relaying_WBU_estimate,official_secondary,WIPO Accessible Books Consortium,Accessible Books Consortium portal,,https://www.wipo.int/en/web/abc/portal/index,WBU estimates less than 10% of all published materials can be read by blind or low-vision people,accessible EPUB; DAISY; braille; audio; born-accessible publishing,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,Do not convert a materials share into people or add it to population counts.,supply_gap,"Estimate date, publication universe, and sampling method are not stated on the portal; not EPUB-specific.",ab18cd0c75b5cd291b9647c16a0512993f2fe0a477df45e7090861b5f8012326
AC-AUDIO-US-NLS-FY2024,Audio/DAISY,United States NLS service,FY2024,observed_service_use,Audio readers served,202947,reported,readers,National Library Service for the Blind and Print Disabled readership,,Readers served using audio; NLS digital talking-book players support DAISY/ANSI-NISO formats.,direct_service_utilization,primary_official,Library of Congress,"Annual Report of the Librarian of Congress, FY2024",2026,https://www.loc.gov/static/portals/about/reports-and-budgets/documents/annual-reports/fy2024.pdf,"Table 12: total readers 219,589; audio readers 202,947",audio; DAISY digital talking books; navigable offline cartridges,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,"Do not add audio, BARD, cartridge, and braille readership categories; they overlap.",utilization,One national service system; excludes eligible nonusers and other audio-book services; annual report notes one library data issue in the overall total.,71a1ddaeed06cc76d599ff501431bb17e07d7c4cf35529349ad76035d43dc803
AC-LITERACY-GLOBAL-2025,Plain-language and cognitive-access versions,Global,2025,population_need_proxy,Adults lacking basic literacy skills,739000000,estimated,persons,Adults age 15+ globally,15+,Adults lacking basic literacy skills under UIS reporting.,population_need_proxy,primary_official,UNESCO / UNESCO Institute for Statistics,Literacy,2025,https://www.unesco.org/en/literacy?hub=68243,Key facts: 739 million adults age 15+ lack basic literacy skills,plain language; easy-read; audio; pictorial support; assisted completion,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,"May overlap low measured literacy, dementia, disability, language mismatch, and offline populations; never sum.",context_only,Lack of basic literacy is not synonymous with cognitive disability or a preference for one plain-language standard.,1fecb0973807baefae1b7c91faf9ecd3b43e8f8ced5734c20fc99f7680a1f893
AC-LITERACY-OECD-PIAAC2023,Plain-language and cognitive-access versions,PIAAC Cycle 2 participating OECD countries,2023,population_rate_proxy,Adults at literacy Level 1 or below,26,average,percent_of_adults,Adults age 16-65 in participating OECD countries,16-65,Average share scoring at Level 1 or below on the PIAAC literacy scale.,direct_measured_skill_rate,primary_official,OECD,Adult literacy skills / Survey of Adult Skills 2023,2024,https://www.oecd.org/en/topics/literacy-skills.html,PIAAC Cycle 2: 26% of adults at Level 1 or below; 31 countries participated in Round 1,plain language; clear structure; worked examples; assisted completion,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,Do not apply the 26% average to nonparticipants or add it to UNESCO's global count.,context_only,"Cross-country average, not a global rate; country rates vary substantially.",8fccf7cc764b15492103c57708f2d1c470dfc18fb7dcf1a394b9cefe1c340a55
AC-DEMENTIA-GLOBAL-2021,Plain-language and cognitive-access versions,Global,2021,population_need_proxy,People living with dementia,57000000,estimated,persons,Global population,,People living with dementia.,population_need_proxy,primary_official,World Health Organization,Dementia fact sheet,2025,https://www.who.int/news-room/fact-sheets/detail/dementia%E2%80%AF,Key facts: 57 million in 2021,plain language; easy-read; consistent navigation; audio; supported decision-making,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,"Overlaps literacy, visual, AT, ageing, and connectivity populations; never sum.",context_only,"Dementia is heterogeneous; accessibility needs vary by stage, person, and task.",fff2a8a0b6255564be041f673feaac46e33e963bd21bb176186b233cc63b620e
AC-OFFLINE-GLOBAL-ITU2025,Low-bandwidth/offline bundles and print-ready service routes,Global,2025,population_access_gap,People remaining offline,2200000000,estimated,persons,Global population,,People not using the Internet under ITU usage concepts.,direct_connectivity_context,primary_official,International Telecommunication Union,Facts and Figures 2025 press release,2025-11-17,https://www.itu.int/en/mediacentre/Pages/PR-2025-11-17-Facts-and-Figures.aspx,Six billion online; 2.2 billion remain offline,low-bandwidth bundles; offline packages; downloadable media; print-ready forms; phone and face-to-face routes,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,"Overlaps youth without home internet, remote-learning exclusion, disability, literacy, and language groups; use once as broad context.",context_only,Internet nonuse is not the same as inability to use any digital delivery; no educational-resource-specific measure.,682eefdd0692eba5d5b65e76e36337826db111bd33818db800a8cbbec5f57583
AC-HOMEINTERNET-YOUTH-GLOBAL-2020,Low-bandwidth/offline bundles,Global,2020,population_access_gap,Children and young people without internet at home,2200000000,estimated,persons,Children and young people age 25 or less,0-25,No internet connection at home.,direct_connectivity_context,primary_official_joint_report,UNICEF and ITU,How many children and young people have internet access at home?,2020,https://www.unicef.org/media/88381/file/How-many-children-and-young-people-have-internet-access-at-home-2020.pdf,Key messages: 2.2 billion age 25 or less; more than 65%,offline learning bundles; downloadable packages; broadcast; print,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,Do not add school-age 1.3 billion and youth 760 million subgroups; ages 15-17 overlap and both sit within the age-0-25 total.,context_only,Home internet differs from any internet use; source surveys span 2010-2020; pandemic-era snapshot.,772c64e53d94d2c3cf2064f88261c1b8077fc4e65617c524302fc8a8024120a3
AC-SCHOOLNET-GLOBAL-PRIMARY-2023,Low-bandwidth/offline bundles,Global,2023,institutional_access_rate,Primary schools connected to the internet,40,reported,percent_of_schools,Primary schools globally,,Share of primary schools connected to the internet.,institutional_supply_context,primary_official,UNESCO Global Education Monitoring Report,2023 GEM Report: Technology in education,2023,https://gem-report-2023.unesco.org/,"Global connectivity: primary 40%, lower secondary 50%, upper secondary 65%",offline school bundles; local servers; print; broadcast,NONE_CONTEXT_OR_SUPPLY_EVIDENCE_ONLY,Do not average or add across school levels without level-specific school denominators.,supply_gap,"School connectivity does not establish quality, affordability, learner home access, bandwidth, or uptime.",e72c336ae24d659225e7f8f57ed0c0d11b58c5c31b8d94fa4414e5508d0b2619
