portfolio_id,portfolio_label,adaptation_depth,scenario,language_or_localized_output_count,editable_units_per_output,source_tokens_per_output,uncached_input_tokens_total,cached_input_tokens_total,output_tokens_total,gross_tokens_total,api_equivalent_usd_total,assumption,source_ids
FR-2,common formal-reasoning comparator,D3,low,1,210,120083,451583,297675,163478,912737,5.19,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-2,common formal-reasoning comparator,D3,base,1,210,120083,1957402,1702575,413072,4073049,16.77,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-2,common formal-reasoning comparator,D3,high,1,210,120083,8436888,8820000,1407683,18664571,65.43,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-2,common formal-reasoning comparator,D3,low,10,210,120083,4515830,2976750,1634780,9127370,51.90,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-2,common formal-reasoning comparator,D3,base,10,210,120083,19574020,17025750,4130720,40730490,167.70,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-2,common formal-reasoning comparator,D3,high,10,210,120083,84368880,88200000,14076830,186645710,654.30,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-2,common formal-reasoning comparator,D3,low,100,210,120083,45158300,29767500,16347800,91273700,519.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-2,common formal-reasoning comparator,D3,base,100,210,120083,195740200,170257500,41307200,407304900,1677.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-2,common formal-reasoning comparator,D3,high,100,210,120083,843688800,882000000,140768300,1866457100,6543.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-5,complete tracked Open Logic closure,D3,low,1,722,367220,1198809,1023435,456707,2678950,14.34,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-5,complete tracked Open Logic closure,D3,base,1,722,367220,4738329,5853615,1073854,11665798,42.77,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-5,complete tracked Open Logic closure,D3,high,1,722,367220,19435255,30324000,3440385,53199640,158.68,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-5,complete tracked Open Logic closure,D3,low,10,722,367220,11988090,10234350,4567070,26789500,143.40,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
