grant_scope,workflow_scenario,cardinal_interventions,modeled_output_equivalents,task_bundle,uncached_input_tokens,cached_input_tokens,cache_write_tokens,cache_write_status,output_tokens,gross_tokens,gross_minus_rounded_component_sum_tokens,api_equivalent_usd_repriced_from_aggregate_tokens,sum_of_rounded_per_output_api_usd,rounding_difference_usd,api_rates_per_million,api_cost_status,non_api_costs_included,non_api_costs_explicitly_excluded,source_artifacts
pilot_top10_fr2_d3,low,10,10,10×FR-2/D3,4515830,2976750,,not_observed_not_assumed_not_zero,1634780,9127370,10,51.95,51.90,0.05,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
pilot_top10_fr2_d3,base,10,10,10×FR-2/D3,19574020,17025750,,not_observed_not_assumed_not_zero,4130720,40730490,0,167.72,167.70,0.02,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
pilot_top10_fr2_d3,high,10,10,10×FR-2/D3,84368880,88200000,,not_observed_not_assumed_not_zero,14076830,186645710,0,654.29,654.30,-0.01,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
headline_top100_fr2_d3,low,100,100,100×FR-2/D3,45158300,29767500,,not_observed_not_assumed_not_zero,16347800,91273700,100,519.50,519.00,0.50,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
headline_top100_fr2_d3,base,100,100,100×FR-2/D3,195740200,170257500,,not_observed_not_assumed_not_zero,41307200,407304900,0,1677.21,1677.00,0.21,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
headline_top100_fr2_d3,high,100,100,100×FR-2/D3,843688800,882000000,,not_observed_not_assumed_not_zero,140768300,1866457100,0,6542.92,6543.00,-0.08,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
headline_top100_fr2_plus_next_openstax,low,100,200,100×FR-2/D3;36×MV-1/D2;44×MV-1/D3;20×SB-1/D3,148276828,45983700,,not_observed_not_assumed_not_zero,67044544,261305136,64,1952.39,1951.76,0.63,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
headline_top100_fr2_plus_next_openstax,base,100,200,100×FR-2/D3;36×MV-1/D2;44×MV-1/D3;20×SB-1/D3,597397240,263007300,,not_observed_not_assumed_not_zero,172056048,1032460624,36,5935.91,5935.92,-0.01,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
headline_top100_fr2_plus_next_openstax,high,100,200,100×FR-2/D3;36×MV-1/D2;44×MV-1/D3;20×SB-1/D3,2450446144,1362480000,,not_observed_not_assumed_not_zero,593706384,4406632528,0,22220.90,22221.24,-0.34,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
all_eligible_133_fr2_d3,low,133,136,136×FR-2/D3,61415288,40483800,,not_observed_not_assumed_not_zero,22233008,124132232,136,706.51,705.84,0.67,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
all_eligible_133_fr2_d3,base,133,136,136×FR-2/D3,266206672,231550200,,not_observed_not_assumed_not_zero,56177792,553934664,0,2281.00,2280.72,0.28,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv
all_eligible_133_fr2_d3,high,133,136,136×FR-2/D3,1147416768,1199520000,,not_observed_not_assumed_not_zero,191444888,2538381656,0,8898.37,8898.48,-0.11,uncached_input=4.00;cached_input=0.40;output=20.00,scenario_API_equivalent_not_invoice_not_weekly_plan,false,"source acquisition and license analysis; terminology research; project management; typography and font engineering; deterministic build/render infrastructure outside billed inference; storage, hosting, and bandwidth; accessibility remediation; teacher materials and training; distribution, devices, and connectivity; evaluation; institutional overhead; taxes",portfolio_compute_scenarios.csv;TOP_10.csv;TOP_100.csv;portfolio_linguistic_candidates.csv

