source_id,organization_or_authors,title,source_type,url,publication_or_update,claim_used,evidence_class,limitations,retrieved_utc
SRC01,OpenAI,What are tokens and how to count them?,Official provider documentation,https://help.openai.com/en/articles/4936856-what-are-tokens-and-how-to-count-them,accessed 2026-09-01,Token counts depend on language and context; the English words-per-token heuristic is not multilingual,PUBLISHED_VENDOR_HEURISTIC,Provider- and tokenizer-specific,2026-09-01
SRC02,Ahia et al.,Do All Languages Cost the Same? Tokenization in the Era of Commercial Language Models,Peer-reviewed primary empirical study,https://aclanthology.org/2023.emnlp-main.614/,2023,Commercial tokenization differs materially across languages,PUBLISHED_MEASUREMENT,"Models, corpora, and prices are time-specific",2026-09-01
SRC03,Petrov et al.,Language Model Tokenizers Introduce Unfairness Between Languages,Peer-reviewed primary empirical study,https://papers.neurips.cc/paper_files/paper/2023/file/74bb24dca8334adce292883b4b651eda-Paper-Conference.pdf,2023,Some parallel content and tokenizer comparisons showed very large disparities,PUBLISHED_MEASUREMENT,"Extreme observations are stress cases, not universal priors",2026-09-01
SRC04,MQM Council,MQM Error Typology,Open translation-quality framework,https://www.themqm.org/mqm-pillars/typology/,accessed 2026-09-01,"Audit dimensions cover accuracy, terminology, linguistic conventions, locale, audience, and design",STANDARDIZED_EVALUATION_FRAMEWORK,Does not supply token multipliers,2026-09-01
SRC06,European Commission Directorate-General for Translation,Translation quality evaluation: information pack for external contractors,Official operational methodology,https://commission.europa.eu/system/files/2024-02/DGT_Translation_quality_evaluation_Info%20pack_for_FL_contractors_27.02.2024.pdf,2024-02-27,"Independent issue-based checking covers accuracy, terminology, norms, references, and style",PRIMARY_OPERATIONAL_GUIDANCE,Does not prescribe universal model effort,2026-09-01
SRC07,W3C,Web Content Accessibility Guidelines 2.2,W3C Recommendation,https://www.w3.org/TR/WCAG22/,2024-12-12,"Accessible equivalents, captions, and named sign-language access are distinct requirements",NORMATIVE_STANDARD,Outcome requirements do not quantify effort,2026-09-01
SRC08,W3C Web Accessibility Initiative,Complex Images Tutorial,Official implementation guidance,https://www.w3.org/WAI/tutorials/images/complex/,accessed 2026-09-01,Complex diagrams generally need short identification and a meaningful long description,AUTHORITATIVE_GUIDANCE,No universal description length,2026-09-01
SRC09,W3C Math Working Group,MathML Core,Technical specification,https://www.w3.org/TR/mathml-core/,accessed 2026-09-01,MathML preserves structured mathematical notation,NORMATIVE_TECHNICAL_SPECIFICATION,Validity does not prove semantic transcription,2026-09-01
SRC10,W3C Math Working Group,Mathematical Markup Language Version 4.0,Technical specification,https://www.w3.org/TR/mathml4/,accessed 2026-09-01,Presentation and content markup distinguish notation from semantic structure,NORMATIVE_TECHNICAL_SPECIFICATION,No effort multiplier,2026-09-01
SRC11,W3C Publishing Working Group,EPUB 3.3,W3C Recommendation,https://www.w3.org/TR/epub-33/,accessed 2026-09-01,EPUB packages structured web content and media,NORMATIVE_TECHNICAL_SPECIFICATION,Conformance is not accessibility or semantic correctness,2026-09-01
SRC12,W3C Publishing Maintenance Working Group,EPUB Accessibility 1.1,W3C Recommendation,https://www.w3.org/TR/epub-a11y-11/,2024-10-17,Accessible EPUB conformance and discoverability requirements,NORMATIVE_STANDARD,Does not quantify remediation effort,2026-09-01
SRC13,W3C and DAISY Consortium,EPUBCheck,Official validator,https://github.com/w3c/epubcheck,accessed 2026-09-01,EPUB conformance validator,OFFICIAL_VALIDATION_TOOL,Tool scope is not semantic correctness,2026-09-01
