id	pnb-Arab-PK	ur-Arab-PK	en	note
algebra	الجبرا	الجبرا	algebra	Provisional school-register loan; Punjabi explanatory prose.
variable	متغیر	متغیر	variable	Explain as a symbol whose value can vary.
expression	جبری عبارت	جبری عبارت	algebraic expression	Do not equate expression with equation.
equation	مساوات	مساوات	equation	Equality statement, not any formula.
value	قدر	قیمت / قدر	value	Prefer قدر to avoid confusing numerical value with money.
relation	تعلق	تعلق	relation	Set of ordered pairs in this unit.
ordered-pair	ترتیب وار جوڑی	مرتب جوڑا	ordered pair	Punjabi جوڑی; input-first order preserved in LTR math.
set	سیٹ	مجموعہ	set	Explain once as collection; do not repeat duplicate elements.
element	رکن	رکن / عنصر	element	Set membership, not an algebraic term.
function	فنکشن	تفاعل / فنکشن	function	Use accessible loan; Urdu formal equivalent provided, not forced into Punjabi prose.
domain	ڈومین	دائرۂ تعریف	domain	Set of permitted inputs; not codomain.
range	رینج	حاصل شدہ قدروں کا مجموعہ	range	Actual outputs; distinguish codomain in later units.
input	اِن پُٹ	داخل کردہ قدر	input	Plain explanation: قاعدے وچ پائی قدر.
output	آؤٹ پُٹ	حاصل ہونے والی قدر	output	Plain explanation: قاعدے توں ملی قدر.
independent	آزاد متغیر	آزاد متغیر	independent variable	Retain source label; input is a value, variable is a symbol.
dependent	تابع متغیر	تابع متغیر	dependent variable	Not statistical dependence here.
natural-number	قدرتی عدد	قدرتی عدد	natural number	Source example starts at 1; no universal convention about 0 claimed.
even	جفت	جفت	even	Keep English mtext in frozen formulas; bilingual legend gives meaning.
odd	طاق	طاق	odd	Keep English mtext in frozen formulas; bilingual legend gives meaning.
exactly-one	ٹھیک اک	صرف ایک	exactly one	Existence and uniqueness together; no at-most-one shortcut.
proof	ثبوت	ثبوت	proof	Reserved B10 term; not yet translated in this pilot.
vector	ویکٹر	سمتیہ / ویکٹر	vector	Reserved B40 term; provisional.
linear-map	خطی نقشہ	خطی تبدیلی	linear map	Reserved B40 term; do not assume every affine function is linear.
function-notation	فنکشن دی علامتی لکھت	فنکشن کی علامتی صورت	function notation	Provisional descriptive phrase; mathematical notation and function application are not multiplication.
percent-grade	فی صد گریڈ	فیصد نمبر	percent grade	PNB-003 course-score context; whole-percent assumption is explicitly disclosed, not a universal grading policy.
gpa	گریڈ پوائنٹ اوسط	گریڈ پوائنٹ اوسط	grade point average (GPA)	Provisional academic loan phrase; the source table supplies one class-specific rule only.
rank	درجہ	درجہ / مرتبہ	rank	Position in the source ranked list; distinguish it from course grade and account for ties.
price	قیمت	قیمت	price	Monetary amount; keep separate from general mathematical value قدر.
menu-item	مینو دی چیز	مینو کی شے	menu item	Ordinary-language bridge choice, not a specialist mathematical term.
rule	قاعدہ	قاعدہ	rule	Function's assignment rule, not its output value.
parentheses	قوساں	قوسین	parentheses	In f(a) they delimit the input; in this context they do not signal multiplication.
